compound,raw_values,measurement_wavelength
cyclohexanone,2.07271,
cyclohexanone,2.05906,
cyclohexanone,2.0455,
cyclohexanone,2.032039,
cyclohexanone,2.018663,
cyclohexanone,2.005375,
phosphorus,1.8244,
phosphorus,2.6,
phosphorus,2.4,
BaTiO3,2.198,
BaTiO3,2.217,510
MeOH,1.329,510
EtOH,1.361,510
THF,1.407,510
Dioxane,1.422,
GaAs,3.6,
AlAs,3.16,
InP,3.55,
ZnSe,2.5,
ZnTe,2.72,467
SiC,2.7104,172
SiC,2.7104,498
SiC,2.6916,185
SiC,2.6916,568
SiC,2.66,213
SiC,2.66,500
GaN,2.29,218
GaN,2.29,1000
GaP,3.17,315
GaP,3.17,344
GaP,5.192,66
GaP,5.192,1000
GaAs,3.347,299
GaAs,3.347,1890
GaAs,3.346,565
GaAs,3.346,
PFA,1.46,
PFA,1.468,
PDMS,1.4,
PEN,1.5,
PMMA,1.49,
PVP,1.513,
PVP,1.513,
PVP,1.66,
Aluminum,1.44,
Acrylate,1.49,
NOA-68,1.56,
SiO2,1.19,
MgF2,1.3844,
SiO2,1.4316,
MgO,1.741,
TiO2,2.829,
GMBS,1.46,
TiO2,2.18,
TiO2,2.25,
Nb2O5,1.89,
Nb2O5,2.26,
SiO2,1.55,
SiO2,1.5,
SiO2–TiO2,1.89,
SiO2–TiO2,1.86,355
F8DP,1.75,452
F8DP,1.75,18
F8DP,1.75,390
PFO,1.72,466
PFO,1.72,20
PFO,1.72,440
F8BT,1.69,576
F8BT,1.69,17
F8BT,1.69,550
oxygen,2.21,550
oxygen,2.43,550
oxygen,2.58,550
oxygen,2.64,
Butanol,1.39,
Ethanol,1.36,
CdI2,1.93,
CdI2,2.27,
CdI2,2.19,
CdI2,2.1,
PDMS,1.43,
PVC,1.55,
PMMA,1.485,
SiO2,1.44,
Al2O3,1.76,
ZrO2,2.12,
TiO2,2.58,
SiO2,1.3,640
Se80Te20,2.58,640
Se80Te18Pb2,1.38,640
Se80Te10Pb10,2.01,
SiO2–,1.55,
