N	Z	A	EL	BE	BEd	MASS	MASSd
1	0	1	n	0.0	0.0	1008664.91582	0.00049
0	1	1	H	0.0	0.0	1007825.03224	0.00009
1	1	2	H	1112.283	0.000	2014101.77811	0.00012
2	1	3	H	2827.265	0.000	3016049.28199	0.00023
1	2	3	He	2572.680	0.000	3016029.32265	0.00022
0	3	3	Li	-2267#	667#	3030775#	2147#
3	1	4	H	1720.449	25.000	4026431.868	107.354
2	2	4	He	7073.915	0.000	4002603.25413	0.00006
1	3	4	Li	1153.760	53.033	4027185.562	227.733
4	1	5	H	1336.359	17.889	5035311.493	96.020
3	2	5	He	5512.132	4.000	5012057.224	21.470
2	3	5	Li	5266.132	10.000	5012537.800	53.677
1	4	5	Be	18#	401#	5039870#	2150#
5	1	6	H	961.639	42.354	6044955.437	272.816
4	2	6	He	4878.519	0.009	6018885.891	0.057
3	3	6	Li	5332.331	0.000	6015122.88742	0.00155
2	4	6	Be	4487.247	0.908	6019726.409	5.848
1	5	6	B	-467#	334#	6050800#	2150#
6	1	7	H	940#	143#	7052749#	1078#
5	2	7	He	4123.057	1.080	7027990.654	8.115
4	3	7	Li	5606.439	0.001	7016003.43666	0.00454
3	4	7	Be	5371.548	0.010	7016928.717	0.076
2	5	7	B	3558.705	3.593	7029712.000	27.000
6	2	8	He	3924.520	0.011	8033934.390	0.095
5	3	8	Li	5159.712	0.006	8022486.246	0.050
4	4	8	Be	7062.435	0.004	8005305.102	0.037
3	5	8	B	4717.155	0.125	8024607.316	1.073
2	6	8	C	3101.524	2.280	8037643.042	19.584
7	2	9	He	3349.037	5.202	9043946.419	50.259
6	3	9	Li	5037.768	0.021	9026790.191	0.200
5	4	9	Be	6462.668	0.009	9012183.066	0.082
4	5	9	B	6257.070	0.100	9013329.649	0.969
3	6	9	C	4337.423	0.237	9031037.207	2.293
8	2	10	He	2995.134	9.285	10052815.308	99.676
7	3	10	Li	4531.351	1.272	10035483.453	13.656
6	4	10	Be	6497.630	0.008	10013534.695	0.086
5	5	10	B	6475.083	0.002	10012936.862	0.016
4	6	10	C	6032.042	0.007	10016853.218	0.075
3	7	10	N	3643.672	40.000	10041653.543	429.417
8	3	11	Li	4155.381	0.056	11043723.581	0.660
7	4	11	Be	5952.540	0.022	11021661.081	0.255
6	5	11	B	6927.732	0.001	11009305.166	0.013
5	6	11	C	6676.456	0.005	11011432.597	0.064
4	7	11	N	5364.046	4.196	11026090.945	49.548
9	3	12	Li	3791.600	2.501	12052613.941	32.213
8	4	12	Be	5720.722	0.159	12026922.083	2.048
7	5	12	B	6631.223	0.110	12014352.638	1.418
6	6	12	C	7680.144	0.000	12000000.0	0.0
5	7	12	N	6170.109	0.083	12018613.182	1.073
4	8	12	O	4890.202	2.000	12034261.747	25.765
10	3	13	Li	3507.630	5.385	13061171.503	75.150
9	4	13	Be	5241.435	0.783	13036134.507	10.929
8	5	13	B	6496.419	0.077	13017779.981	1.073
7	6	13	C	7469.849	0.000	13003354.83521	0.00023
6	7	13	N	7238.863	0.021	13005738.609	0.289
5	8	13	O	5811.763	0.733	13024815.437	10.226
10	4	14	Be	4993.897	9.446	14042892.920	141.970
9	5	14	B	6101.644	1.515	14025404.012	22.773
8	6	14	C	7520.319	0.000	14003241.98843	0.00403
7	7	14	N	7475.614	0.000	14003074.00446	0.00021
6	8	14	O	7052.278	0.002	14008596.706	0.027
5	9	14	F	5285.208	2.937	14034315.199	44.142
11	4	15	Be	4540.970	11.053	15053490.215	177.990
10	5	15	B	5879.985	1.402	15031087.953	22.578
9	6	15	C	7100.169	0.053	15010599.256	0.858
